iter,voter_id,elapsed_ms,ok,err
0,fail-000000,0.096,1,
1,fail-000001,0.074,1,
2,fail-000002,0.074,1,
3,fail-000003,0.059,1,
4,fail-000004,8004.843,1,
5,fail-000005,0.564,1,
6,fail-000006,0.293,1,
7,fail-000007,0.475,1,
8,fail-000008,0.284,1,
9,fail-000009,0.328,1,
