client,iter,voter_id,rtt_ms,ok,err
0,0,c0-000000,0.0204,1,
0,1,c0-000001,0.0182,1,
0,2,c0-000002,0.0164,1,
0,3,c0-000003,0.0154,1,
0,4,c0-000004,0.0147,1,
0,5,c0-000005,0.0152,1,
0,6,c0-000006,0.0147,1,
0,7,c0-000007,0.0144,1,
0,8,c0-000008,0.0146,1,
0,9,c0-000009,0.0145,1,
0,10,c0-000010,0.0145,1,
0,11,c0-000011,0.0142,1,
0,12,c0-000012,0.014,1,
0,13,c0-000013,0.0142,1,
0,14,c0-000014,0.0137,1,
0,15,c0-000015,0.0137,1,
0,16,c0-000016,0.0138,1,
0,17,c0-000017,0.0136,1,
0,18,c0-000018,0.0137,1,
0,19,c0-000019,0.0137,1,
1,0,c1-000000,0.0285,1,
1,1,c1-000001,0.019,1,
1,2,c1-000002,0.0665,1,
1,3,c1-000003,0.0193,1,
1,4,c1-000004,0.0275,1,
1,5,c1-000005,0.021,1,
1,6,c1-000006,0.0207,1,
1,7,c1-000007,0.0202,1,
1,8,c1-000008,0.0147,1,
1,9,c1-000009,0.1238,1,
1,10,c1-000010,0.0275,1,
1,11,c1-000011,0.064,1,
1,12,c1-000012,0.0277,1,
1,13,c1-000013,0.0163,1,
1,14,c1-000014,0.0771,1,
1,15,c1-000015,0.0172,1,
1,16,c1-000016,0.0254,1,
1,17,c1-000017,0.0155,1,
1,18,c1-000018,0.015,1,
1,19,c1-000019,0.0144,1,
2,0,c2-000000,0.0207,1,
2,1,c2-000001,0.0186,1,
2,2,c2-000002,0.0689,1,
2,3,c2-000003,0.0816,1,
2,4,c2-000004,0.0796,1,
2,5,c2-000005,0.0727,1,
2,6,c2-000006,0.0781,1,
2,7,c2-000007,0.1188,1,
2,8,c2-000008,0.0803,1,
2,9,c2-000009,0.0633,1,
2,10,c2-000010,0.0765,1,
2,11,c2-000011,0.0724,1,
2,12,c2-000012,0.077,1,
2,13,c2-000013,0.0735,1,
2,14,c2-000014,0.0689,1,
2,15,c2-000015,0.066,1,
2,16,c2-000016,0.0584,1,
2,17,c2-000017,0.0709,1,
2,18,c2-000018,0.059,1,
2,19,c2-000019,0.0689,1,
