client,iter,voter_id,rtt_ms,ok,err
0,0,c0-000000,0.0925,1,
0,1,c0-000001,0.0367,1,
0,2,c0-000002,0.0279,1,
0,3,c0-000003,0.0193,1,
0,4,c0-000004,0.0568,1,
0,5,c0-000005,0.0278,1,
0,6,c0-000006,0.0458,1,
0,7,c0-000007,0.0222,1,
0,8,c0-000008,0.0157,1,
0,9,c0-000009,0.0253,1,
0,10,c0-000010,0.0162,1,
0,11,c0-000011,0.0225,1,
0,12,c0-000012,0.0197,1,
0,13,c0-000013,0.0147,1,
0,14,c0-000014,0.1235,1,
0,15,c0-000015,0.0715,1,
0,16,c0-000016,0.0246,1,
0,17,c0-000017,0.0168,1,
0,18,c0-000018,0.0236,1,
0,19,c0-000019,0.0875,1,
1,0,c1-000000,0.066,1,
1,1,c1-000001,0.0604,1,
1,2,c1-000002,0.0575,1,
1,3,c1-000003,0.0412,1,
1,4,c1-000004,0.0969,1,
1,5,c1-000005,0.1656,1,
1,6,c1-000006,0.0539,1,
1,7,c1-000007,0.0543,1,
1,8,c1-000008,0.06,1,
1,9,c1-000009,0.0388,1,
1,10,c1-000010,0.0375,1,
1,11,c1-000011,0.0818,1,
1,12,c1-000012,0.0213,1,
1,13,c1-000013,0.0765,1,
1,14,c1-000014,0.0926,1,
1,15,c1-000015,0.0932,1,
1,16,c1-000016,0.0953,1,
1,17,c1-000017,0.1131,1,
1,18,c1-000018,0.1678,1,
1,19,c1-000019,0.123,1,
2,0,c2-000000,0.0486,1,
2,1,c2-000001,0.0225,1,
2,2,c2-000002,0.0229,1,
2,3,c2-000003,0.0168,1,
2,4,c2-000004,0.032,1,
2,5,c2-000005,0.0963,1,
2,6,c2-000006,0.0792,1,
2,7,c2-000007,0.1086,1,
2,8,c2-000008,0.0765,1,
2,9,c2-000009,0.0282,1,
2,10,c2-000010,0.0959,1,
2,11,c2-000011,0.1597,1,
2,12,c2-000012,0.0331,1,
2,13,c2-000013,0.0387,1,
2,14,c2-000014,0.1366,1,
2,15,c2-000015,0.0691,1,
2,16,c2-000016,0.0628,1,
2,17,c2-000017,0.0445,1,
2,18,c2-000018,0.0777,1,
2,19,c2-000019,0.0585,1,
3,0,c3-000000,0.028,1,
3,1,c3-000001,0.1476,1,
3,2,c3-000002,0.0733,1,
3,3,c3-000003,0.0992,1,
3,4,c3-000004,0.0464,1,
3,5,c3-000005,0.0909,1,
3,6,c3-000006,0.0731,1,
3,7,c3-000007,0.0943,1,
3,8,c3-000008,0.0527,1,
3,9,c3-000009,0.0583,1,
3,10,c3-000010,0.0561,1,
3,11,c3-000011,0.0734,1,
3,12,c3-000012,0.1112,1,
3,13,c3-000013,0.021,1,
3,14,c3-000014,0.0874,1,
3,15,c3-000015,0.0546,1,
3,16,c3-000016,0.0395,1,
3,17,c3-000017,0.091,1,
3,18,c3-000018,0.2318,1,
3,19,c3-000019,0.1218,1,
4,0,c4-000000,0.0242,1,
4,1,c4-000001,0.0192,1,
4,2,c4-000002,0.0199,1,
4,3,c4-000003,0.0145,1,
4,4,c4-000004,0.043,1,
4,5,c4-000005,0.0153,1,
4,6,c4-000006,0.0135,1,
4,7,c4-000007,0.0138,1,
4,8,c4-000008,0.0133,1,
4,9,c4-000009,0.0134,1,
4,10,c4-000010,0.0133,1,
4,11,c4-000011,0.0134,1,
4,12,c4-000012,0.0131,1,
4,13,c4-000013,0.0133,1,
4,14,c4-000014,0.013,1,
4,15,c4-000015,0.0132,1,
4,16,c4-000016,0.0133,1,
4,17,c4-000017,0.0135,1,
4,18,c4-000018,0.0134,1,
4,19,c4-000019,0.0135,1,
